*а:	a, и, же, но, как только, чтобы, напротив, да;
*a bo:	или, до, ли, ибо, так как, либо, когда бы, если бы, иначе, разве;
*a by:	если бы, чтобы, лишь бы, как будто, как бы, дабы, только бы, хоть бы, если, либо, то есть, чтобы только;
*a čе/*а či:	после, и затем, ако, хотя, или, ли, как, если, потому что, что, хоть, но, несмотря на то, сколь, насколько, вот еще, как бы не так, еще что, авось;
*а jьno?/*a оnо:	потому что, да но, кроме, и, но, а, давно, но, однако, теперь, да, тут, там, ну да, конечно, итак, вот, так что, даже, а вот, а вместо этого, или, а то, только;
*а lе:	но, ну, однако, между тем, впрочем;
*а li:	разве, но, если, или, однако, ли, конечно, либо, же, ужели, по крайней мере, так что, даже;
*a ni:	ни, и ни, даже и не;
*a si/*a se:	примерно, возможно, может быть, и, ась;
*а ti:	чтобы, дабы, пусть, да, давай;
*a to:	a выходит, а оказывается, что, пусть, да, а как же, как иначе, да, так, а, но, а не то, а между тем, кроме того, еще;
*а že:	до тех пор, пока, до, что, чтобы, даже, вот, как только, так что, если, ли, тем более, ан вот, инда, напротив, между тем, ведь, как будто, точно, словно, а ведь, но, однако, между тем как, оказывается, возможно, вероятно, или, неужели, так что даже, а, но вот, что даже, пока даже, и вот, как;
*аblо:	яблоко, яблоня
*ablonevъjь/*ablonovъjь:	яблоневый, сделанный из Яблонового дерева, свойственный принадлежащий яблоне;
*ablonica/*abolnica?:	яблоня;
*ablonišče/*abolnišče:	яблоневый сад;
*аblоnь:	яблоня;
*ablonьjь:	яблоневый;
*ablonьje:	яблони;
*аblоnьnъjь/*аbolnьnъjь:	яблочный, яблоневый, Яблоновый, яблонный;
*аblъ:	яблоко, яблоня;
*ablъčьnъjь:	яблочный;
*аblъка:	яблоня, яблоко;
*аblъко:	яблоко, плод яблони;
*ablъkovъ(jь):	яблочный, яблоневый;
*аblъкъ:	яблоко;
*abolnovъ(jь):	платановый, тополиный, яблоневый;
*аbоlnъ:	платан, чинара, яблан, пирамидальный тополь;
*аbоlnь I:	яблоня;
*аbоlnь II:	болонь в дереве;
*abrĕdja:	плодовое дерево;
*abrĕdъ/*obrĕdъ:	садовые фрукты, сухие фрукты, фрукты;
*abrĕdь:	акрида;
*abrĕdьje:	саранча, акриды;
*abrędъ:	вид тополя;
*abrędъka:	сережки (на вербе, иве), гусята;
*abrędъkъ:	сережка (на орешнике, ольхе, сосне), весенняя гроздь винограда, цвет орешника, цвет ольхи, побег виноградной лозы;
*abrędь:	сережки, цвет (на дереве), вид тополя, тополь;
*abrędьje:	вид тополя;
*abьje:	сейчас же, тотчас;
*adati:	испытывать, исследовать;
*adera?:	сварливый, неуживчивый человек;
*aduxa:	кашель, удушье, чахотка;
*adušivъjь:	страдающий одышкой;
*adušь:	одышка, удушье;
*aglъjь/*jaglъjь:	тучная, черная почва, чернозем;
*agnevъjь?:	ягнячий;
*agnę:	ягненок, агнец,'козленок;
*agnędъ:	тополь, цвет, сережки (на деревьях);
*agnędъje:	тополя, чернотополье;
*agnętina:	ягнятина, мясо или шкурка ягненка;
*agnętjьjь:	ягнячий;
*agnica:	ягненок женского пола, суягная овца, молодая овца;
*agnidlo?:	ягнятник, время ягнения овец, место куда пригоняют овец ягниться, время окота овец, место где ягнятся овцы, загон;
*agniti(sę):	ягниться, давать приплод (об овце), рожать ягнят;
*agnьcь:	агнец, ягненок, барашек, (жертвенный) агнец;
*agoda:	 плод, ягода, земляника, клубника, щека, плод ежевики, оспа, щеки, черника, плод винограда, небольшой сочный плод кустарниковых или травянистых растений, мускулы на лицевых скулах, шелковица;
*agodica:	скула, щеки, ягодица (задняя мясистая часть тела, седалище, округлая половина этой части, сосок женской груди), щека;
*agodina?:	ягодина (название растения), куст земляники; 
*agodišče:	место где растут ягоды;
*agodъka, мн. *agodъky:	 скула, верхняя часть щеки, верхние скулы, скулы лица
*agodьje:	ягоды;
*agodьnica:	ягодница (название дерева), тутовое дерево, кушанье из земляники, сок из ягод, щека, щеки, скулы, собирающая ягоды;
*agodьnikъ:	ягода, земляника, куст земляники, тутовое дерево, ягодный огород, ягодное место, ягодное варенье, пастила, пирог, кустарник на котором родятся ягоды, земляника лесная, стебли кусты клубники или земляники;
*agodьnъjь:	ягодный, земляничный, черничный;
*agolvo?:	скотина убитая хищным зверем (медведем, волком), мертвечина, падаль;
*ajatъ(jь):	с яйцами (cum testiculis);
*aje:	яйцо, яичко;
*ajina:	яичная скорлупа;
*ajitъjь?:	овальный
*ajьce:	яйцо (птичье), яичко (testiculus)
*ajьčьjь:	яичный
*аjьčьnа:	яичница
*ajьčьnica:	праздничное кушанье из теста с крашеным яйцом посередине, яичница (из взбитых яиц, из поджаренных на сковороде яиц);
*ajьčьnikъ:	кушанье с яйцами, яичница, кушанье из яиц, железа на горле скотины, вид гриба;
*аjьčьnъjь:	яичный, из яиц;
*ajьko:	яйцо, яичко, пасхальное яйцо, круглая ягодка как плод растения;
*ajьno:	пузырь, плена, сорочка в коей иногда родятся младенцы;
*аjьnъjь:	яичный, овальный;
*ako/*jako?:	как, будто, если, хотя, поскольку, ли, когда, что, так что, чтобы, ибо, так как, так, как будто;
*alovĕti/*jalovĕti:	становиться бесплодным (о животном), быть оставаться бесплодным, яловеть (о корове: быть яловой, становиться яловой), оставаться бесплодной (о самке скота), оставаться невспаханной (о земле);
*alovę/*jalovę:	яловица, яловка, телка, телок;
*alovica/*jalovica:	яловица, бездетная женщина, глинистая почва, вид почвы красноватого цвета, неплодородная почва, трудно обрабатываемая, яловое животное , бесплодная земля, невспаханное поле, теленок, бесплодная самка животного (корова, коза, овца), телка, не телившаяся молодая корова, яловка, корова не дававшая приплода, нетель, несуягная овца, юница, телица не приносившая еще теленка;
*alovičina/*jalovičina:	телячья кожа, телятина, говядина;
*alovina/*jalovina:	яловая скотина (овцы, коровы), скотина которая не доится, молодой рогатый скот, лядо, запущенная, плохая земля, перелог, поле, засеваемое с промежутком в 2—3 года для повышения плодородия почвы, поле которое не успели обработать;
*aloviti(sę)/*jaloviti(sę):	скидывать (о животном), выхолащивать, кастрировать (барана), делать яловой (корову, кобылу, овцу), становиться яловой, бесплодной, делать бесплодной, земля отдыхает, лежит в пару;
*aloviznь/*jaloviznь:	молодой рогатый скот;
*alovъjь,*alovaja/*jalovъjь,*jalovaja:	не родящий, бесплодный (о земле, о скоте, о почве, растении), яловый, пустой, молодой (о скоте), недойный (о скоте), постный, несдобный (о тесте), неурожайный, сухой, нестельный, неплодный, неоплодотворенный, порожний, не подвергавшийся пахоте, заобложивший, молодая корова, нетель;
*аlоvъkа/*jalovъka:	телка, яловая овца или корова, телица, молодая корова, яловица, нетель, неплодная корова, яловка;
*аlоvъкъ?/*аlоvакъ?:	кладеный баран-вожак, кастрированное животное (бык, конь), бесплодный петух;
*аlоvьсь/*jаlоvьсь:	кладеный баран, бесплодное животное, бесплодный ствол, можжевельник, яловые овцы, терн;
*ama/*jama:	яма, воронка, пещера, углубление вырытое или образовавшееся в земле, углубление, нора, ров, могила, погреб;
*amo/*jamo:	сюда, куда;
*ара?:	надежда, ожидание;
*apadь:	тенистое место;
*apati:	наблюдать, созерцать, внимать;
*арьno?/*vаpьnо (см.):	известь;
*apьnъjь:	остроумный, находчивый;
*arębatъjь:	пестрый, рябой, полосатый;
*arębica:	куропатка, рябчик;
*arębika:	рябина;
*arębina:	мясо куропатки, плод рябины, рябина;
*аrębъ:	горная куропатка, куропатка (самец), рябина, вид тополя, рябчик;
*arębъjь:	пестрый, рябой (обычно о птицах);
*аrębъкъ:	рябчик, рябина (обыкновенная);
*аrębь:	куропатка;
*arębьje:	заросли, кусты рябины;
*аru:	если бы;
*arьmiti:	запрягать в ярмо, порабощать, угнетать;
*аrьmо:	ярмо для крупного рогатого скота, воловье ярмо, деревянный хомут для упряжки рабочего рогатого скота, воловья упряжь, ключица;
*аrьmъ:	ярмо, иго, перекладины на четырех столбах крепящие валяльное устройство, хомут;
*аrьmьnikъ:	деталь ярма, подъяремник, скот ходящий под ярмом;
*arьmьnъ(jь):	подъяремный, рабочий, впрягальный (скот, вол);
*asenica:	ясень;
*asenika:	ясень;
*asenikъ:	ясень, ясеневый лес;
*asenišče:	ясеневый лес;
*asenovъ(jь)/*asenevъ(jь):	ясеневый;
*asenъ/*asenь:	ясень;
*asenьcь:	название растения, ясеневый лес, ясенец (многолетнее травянистое растение с перистыми листьями как у ясеня);
*asenьje:	ясени, ясеневый лес, группа ясеней;
*asika:	осина, береза, вид тополя, осокорь, ясень;
*аsikъ:	осиновый лес;
*aska?:	углубление в земле, яма, лужа;
*askǫdь:	διεσταλμένους (расширенный?)
*askъ:	яма с водой, туннель, отверстие верши или рыбачьего кузова;
*askyni:	пещера;
*asokorъ/ь:	осокорь (растение Populus nigra);
*astrębica:	ястреб;
*astrębinъjь:	ястребов, ястребиный;
*astrębovъ:	ястребиный;
*astrębъ/*astrębь:	ястреб, коршун;
*astrębъkъ:	рябчик, ястребок, маленький ястреб;
*astrębьcь:	ястребок;
*astrębьjь/*astrębjь:	ястребиный;
*astriti:	зорко, пристально смотреть;
*astrǫbъ:	ястреб;
*astrъ:	ястреб;
*аščеlь?:	самец ящерицы;
*aščerica:	сыпь на языке во рту, зеленая ящерица, растение Imperatoria ostruthium, ящерица;
*аščеrъ:	ящерица, ангина, воспаление горла, ящер, змей, дракон, шероховатое воспаление языка у скота и лошадей, трещины по языку, рак языка, кожа обделанная сыпью, шершавая шагрень, болезнь языка у рогатого скота, саламандра, род мыши или сони;
*aščerъka:	ящерица, ящерка;
*aščerь:	выдра, уж, ящерица, личинка водяного жука;
*ašutь:	без причины, напрасно, даром, излишне, тщетность, ничтожность;
*ašutьnъjь:	тщеславный, пустой, тщетный;
*atje:	если, если бы, ли, хотя;
*atra:	огонь, блеск, пламя, костер (под открытым небом), зола, очаг, под печи на котором печется хлеб, кострище, пепел, жар, угли в костре, раскаленные угли с пламенем, место где горит или горел огонь, теплое место на печи, лежанка, пепел, искра из соломы;
*ava:	явь, действительность, бдение (в противоположность сну), наяву, показ, выставка, явление, дивное происшествие;
*avĕ:	явно, открыто, видно, ясно, известно, наяву, ясно, определенно;
*avida?:	черт;
*avidь?:	змея которая водится в тундрах;
*aviti(sę):	явить, открыть, показать, явиться, показаться, сообщить, окликнуть, передать, заявить, донести, появиться, объявить, вести за собой овец, заявить о себе, дать о себе знать, проявить, уведомлять, объявлять, делать явным, проявлять, являться, прибыть, обнаружить, предъявить;
*avo:	явно, открыто;
*avodь?:	струя, быстрина;
*avorina: 	древесина клена, яворовый лес, место в лесах, отведенное для пастьбы овец, яворовая кленовая поросль, дерево явор в поделках, явор, яворовое дерево;
*avorišče:	место где растут яворы, кленовый лес;
*avorovъ(jь):	кленовый, платановый, яворовый, принадлежащий явору, сделанный из явора;
*аvоrъ I:	клен, явор, белый клен, клены, чинар;
*аvоrъ II:	кладь сена?;
*avorьje:	кленовый лес, яворовый лес, яворы;
*avorьnica:	явор;
*аvоrьnikъ:	сорт виноградной лозы, майский жук, яворовый лес;
*аvоrьnъ(jь):	яворовый, яворный;
*аvъ:	проявление, свет, ясность, явность, в полном, здравом уме, в бодрствующем состоянии, извещение, уведомление, сообщение;
*аvъkа:	курица несущаяся впервые, вид пошлины, явка, рубка леса на продажу;
*аvь:	явь, бдение, реальная действительность в противоположность сну (бреду, мечте);
*аvьnъ(jь):	явный, очевидный, открытый, публичный, общеизвестный, общественный, ясный, видимый, видный, известный;
*azica:	плотва, шерешпер, язь;
*аzъ:	я;
*аzъкъ/*аzькъ:	рыба елец, малый шерех;
*аzь:	плотва, язь, бычок, шерешпер, пресноводная рыба из семейства карпов;
*azьnĕnъjь:	кожаный;
*аzьnо:	кожа;
*aževina?:	отходы при дублении кож, сердцевина тыквы, густой мох на деревьях и сырых стенах;
*ba:	да, поистине, ей-ей, даже, больше того, вот, ага, еще бы, конечно, ну, ба, вишь, видишь, а вот, да нет, даже, да и, наоборот, как раз;
